Gene,TCGA-CQ-A4CD-01A-21R-A24Z-07,TCGA-RQ-A6JB-01A-11R-A31O-07,TCGA-IF-A4AJ-01A-11R-A24X-07,TCGA-DX-A3UA-01A-12R-A30C-07,MAX,AVG,MED,MIN
ADRA1A,0,0,41.3832,0.6262,41.3832,10.50235,0.3131,0
BIRC2,21095.932,1551.4838,828.2313,1767.0632,21095.932,6310.677575,1659.2735,828.2313
SHROOM2,403.3183,440.5197,124.7166,690.0438,690.0438,414.6496,421.919,124.7166
ART3,43.0275,0.5087,3.9683,23.1684,43.0275,17.668225,13.56835,0.5087
ARVCF,116.6409,22.8907,183.6735,11028.804,11028.804,2838.002275,150.1572,22.8907
ZFHX3,430.7937,956.8789,1993.0329,1813.2311,1993.0329,1298.48415,1385.055,430.7937
BRAF,92.7943,129.7142,92.9705,88.9167,129.7142,101.098925,92.8824,88.9167
DAGLA,79.8342,43.2381,744.898,506.5748,744.898,343.636275,293.2045,43.2381
DDR1,3189.2213,87.4935,1181.9728,346.2743,3189.2213,1201.240475,764.12355,87.4935
CDH11,284.0854,1555.5533,1126.4172,4066.3745,4066.3745,1758.1076,1340.98525,284.0854
CHRNB3,0,0,154.195,0,154.195,38.54875,0,0
COL10A1,43.5459,2349.0991,33.4467,804.0075,2349.0991,807.5248,423.7767,33.4467
COL19A1,0,10.1737,1139.4558,0,1139.4558,287.407375,5.08685,0
CLDN4,945.0505,11.191,13.6054,1.8785,945.0505,242.93135,12.3982,1.8785
CRH,0,0,0,0,0,0,0,0
CST1,22.8098,0,0,338.134,338.134,90.23595,11.4049,0
CST2,0,0,0,201.0019,201.0019,50.250475,0,0
CST4,0,0,0,9.3926,9.3926,2.34815,0,0
DEFA5,0,0,2.8345,0,2.8345,0.708625,0,0
ECM1,8156.05,1744.2748,108.8435,6887.2887,8156.05,4224.11425,4315.78175,108.8435
EGFR,2192.2631,25.9428,497.7324,1073.2624,2192.2631,947.300175,785.4974,25.9428
F5,1698.2915,243.6593,13.6054,10.645,1698.2915,491.5503,128.63235,10.645
FCGR1A,121.2806,750.8164,243.1916,135.2536,750.8164,312.63555,189.2226,121.2806
FCGR1A,105.7544,600.2462,280.6122,119.5992,600.2462,276.553,200.1057,105.7544
FGFR1,605.4959,2808.4401,2217.6871,15204.7589,15204.7589,5209.0955,2513.0636,605.4959
FGFR3,1207.8813,10.1737,81.0658,65.7483,1207.8813,341.217275,73.40705,10.1737
FGFR2,170.0365,11.6997,391.7234,10.645,391.7234,146.02615,90.8681,10.645
FGFR4,274.2357,3.0521,6.8027,5.6356,274.2357,72.431525,6.21915,3.0521
FLT1,735.6153,350.4827,1442.7438,673.7633,1442.7438,800.651275,704.6893,350.4827
FLT3,3.1104,21.3647,19.2744,1.8785,21.3647,11.407,11.1924,1.8785
FLT4,118.1961,83.9327,500,287.4139,500,247.385675,202.805,83.9327
GABRG2,100.5704,0,0,38.1966,100.5704,34.69175,19.0983,0
GABRG3,0,0,1.7007,243.5817,243.5817,61.3206,0.85035,0
GCG,0,0,0,81.4026,81.4026,20.35065,0,0
GJA3,41.4723,0,4.5351,3286.7877,3286.7877,833.198775,23.0037,0
NPBWR2,0,1.0174,0,0,1.0174,0.25435,0,0
FFAR1,0,4.0695,0,3.1309,4.0695,1.8001,1.56545,0
HAS3,1576.6169,17.2952,2558.1349,66.6124,2558.1349,1054.66485,821.61465,17.2952
SERPIND1,11.4049,0,362.2449,0,362.2449,93.41245,5.70245,0
HCRTR1,0,0,0,0,0,0,0,0
HLA-DQA1,534.4745,44249.8449,907.0295,1140.8892,44249.8449,11708.05953,1023.95935,534.4745
HLA-DRB5,3226.1473,8185.298,3654.0873,2316.8441,8185.298,4345.594175,3440.1173,2316.8441
ID1,4814.4179,177.5304,322.5624,2232.9368,4814.4179,1886.861875,1277.7496,177.5304
RBPJ,203.7328,515.8048,585.034,1211.0207,1211.0207,628.898075,550.4194,203.7328
IL1B,1785.3833,53.4117,47.619,13.7758,1785.3833,475.04745,50.51535,13.7758
INSL4,97.9784,0,0,0,97.9784,24.4946,0,0
EIF3E,8909.8094,9749.9313,2341.2698,5918.5974,9749.9313,6729.901975,7414.2034,2341.2698
ITGA4,121.5294,339.3477,542.5624,515.1847,542.5624,379.65605,427.2662,121.5294
JAK1,1680.1473,7025.424,3379.2517,3735.7545,7025.424,3955.144375,3557.5031,1680.1473
JAK2,533.4377,741.6601,826.5306,287.4139,826.5306,597.260575,637.5489,287.4139
KCNK2,18.6625,49.3423,0,1534.1265,1534.1265,400.532825,34.0024,0
KDR,152.4108,335.7309,1562.9252,1646.8378,1646.8378,924.476175,949.32805,152.4108
KIT,7.7761,21.8734,46.4853,22.5423,46.4853,24.669275,22.20785,7.7761
KRT86,55.4692,201.4386,15.873,2.5047,201.4386,68.821375,35.6711,2.5047
LIMK1,1378.4362,4956.1006,394.5578,2779.5867,4956.1006,2377.170325,2079.01145,394.5578
MAG,0,4.0695,3.4014,721.3525,721.3525,182.20585,3.73545,0
MAZ,4842.4117,4346.6117,6041.1395,6706.6938,6706.6938,5484.214175,5441.7756,4346.6117
MCF2,397.6159,2.0347,0,6.2617,397.6159,101.478075,4.1482,0
ME1,321.9289,186.6867,486.3946,1416.4058,1416.4058,602.854,404.16175,186.6867
MEP1A,58.5797,12.7171,2.2676,0,58.5797,18.3911,7.49235,0
MET,2579.5783,71.7243,145.1247,55.1033,2579.5783,712.88265,108.4245,55.1033
MLLT1,848.1089,1374.4621,2473.9229,2085.7858,2473.9229,1695.569925,1730.12395,848.1089
MYH10,740.7993,1810.4036,16270.4082,2513.4627,16270.4082,5333.76845,2161.93315,740.7993
NOVA1,1.0368,4.5781,7.9365,0.6262,7.9365,3.5444,2.80745,0.6262
NTRK1,252.9811,38.6599,3.9683,894.1766,894.1766,297.446475,145.8205,3.9683
NTRK3,0,1.0174,308.9569,2.5047,308.9569,78.11975,1.76105,0
PAX9,144.1163,0.5087,2825.9637,82.655,2825.9637,763.310925,113.38565,0.5087
PDGFRA,194.4844,2442.3713,24.7902,287.5579,2442.3713,737.30095,241.02115,24.7902
PDGFRB,1130.1207,2601.406,6145.1247,19905.4477,19905.4477,7445.524775,4373.26535,1130.1207
MAP2K1,2457.2297,2702.2626,1352.7494,792.824,2702.2626,1826.266425,1904.98955,792.824
MAP2K2,1826.8557,3443.7854,1494.3311,2922.9806,3443.7854,2421.9882,2374.91815,1494.3311
PTK6,2270.0911,55.9552,19.2744,6.8879,2270.0911,588.05215,37.6148,6.8879
PYGB,2205.809,1150.1328,21769.2744,3639.3237,21769.2744,7191.134975,2922.56635,1150.1328
RAF1,906.1702,2150.7127,2691.61,2325.6105,2691.61,2018.52585,2238.1616,906.1702
RASA2,114.5673,127.1708,89.5692,65.7483,127.1708,99.2639,102.06825,65.7483
RET,31.6226,8.6476,62.9252,2.5047,62.9252,26.425025,20.1351,2.5047
SHH,0,0,0.5669,0,0.5669,0.141725,0,0
SLC1A5,4914.9882,1576.918,816.8934,999.3738,4914.9882,2077.04335,1288.1459,816.8934
SPINT1,4444.2774,430.8547,44.2177,40.7013,4444.2774,1240.012775,237.5362,40.7013
SSR1,1597.7211,2527.1382,2554.4218,3869.1296,3869.1296,2637.102675,2540.78,1597.7211
TEK,38.8803,102.754,626.9841,389.4803,626.9841,289.524675,246.11715,38.8803
TERT,48.2116,18.8213,0,0.6262,48.2116,16.914775,9.72375,0
TGM3,6.7393,0,0,6283.0307,6283.0307,1572.4425,3.36965,0
TOP2A,2893.2127,4372.1323,3095.805,3142.1415,4372.1323,3375.822875,3118.97325,2893.2127
TOP2B,781.7532,3726.6133,3269.8413,4991.8597,4991.8597,3192.516875,3498.2273,781.7532
TYR,0,0,0,2.5047,2.5047,0.626175,0,0
KDM6A,215.6561,627.7151,891.7234,577.3325,891.7234,578.106775,602.5238,215.6561
VEGFA,8195.4487,282.8279,1713.7188,741.3901,8195.4487,2733.346375,1227.55445,282.8279
PXDN,5058.5861,1170.9888,4181.9728,12748.9042,12748.9042,5790.112975,4620.27945,1170.9888
MLLT10,515.812,532.0827,443.3107,428.9292,532.0827,480.03365,479.56135,428.9292
PIP5K1B,0,219.2425,629.8186,75.7671,629.8186,231.20705,147.5048,0
KCNAB2,139.4507,2434.5579,575.9637,1740.7639,2434.5579,1222.68405,1158.3638,139.4507
ITGA10,19.6994,21.8734,1625.2834,8174.7026,8174.7026,2460.3897,823.5784,19.6994
CDKL1,41.9907,14.2431,140.0227,46.9631,140.0227,60.8049,44.4769,14.2431
CDK5R1,1186.1083,2216.3328,35.1474,251.0958,2216.3328,922.171075,718.60205,35.1474
STK19,328.2949,322.2203,375.0567,440.7451,440.7451,366.57925,351.6758,322.2203
TIMELESS,1016.0718,1747.8356,1442.1769,745.7733,1747.8356,1237.9644,1229.12435,745.7733
TRPA1,11.4049,12.3,6.2868,75.8547,75.8547,26.4616,11.85245,6.2868
SH2D2A,6592.5435,665.8663,86.1678,61.3651,6592.5435,1851.485675,376.01705,61.3651
NOLC1,5053.4021,3088.7245,1123.5828,1361.3024,5053.4021,2656.75295,2225.01345,1123.5828
SLC22A13,1.5552,0,0.5669,0,1.5552,0.530525,0.28345,0
MED27,461.898,428.82,203.5147,412.0225,461.898,376.5638,420.42125,203.5147
RAB36,145.1531,30.521,103.7415,547.9023,547.9023,206.829475,124.4473,30.521
PDE4DIP,1393.4699,2860.3258,3611.1111,1956.1678,3611.1111,2455.26865,2408.2468,1393.4699
LPIN2,161.2236,1267.1299,3432.5397,1396.3682,3432.5397,1564.31535,1331.74905,161.2236
DEPDC5,241.0579,875.4438,384.9206,324.9843,875.4438,456.60165,354.95245,241.0579
ABI1,1491.3601,2375.8762,885.9637,1078.0338,2375.8762,1457.80845,1284.69695,885.9637
CTDSP2,2588.3911,7032.5456,4455.7823,5362.5548,7032.5456,4859.81845,4909.16855,2588.3911
RABEPK,962.1578,445.6065,319.7279,824.6713,962.1578,638.040875,635.1389,319.7279
EMC8,845.5169,607.3678,359.4104,525.9862,845.5169,584.570325,566.677,359.4104
TFG,3988.0819,1134.3636,2297.0522,2798.3719,3988.0819,2554.4674,2547.71205,1134.3636
YAP1,47974.142,477.1449,6668.9342,3014.402,47974.142,14533.65578,4841.6681,477.1449
NPC2,2396.0632,4529.3154,2792.517,3537.8835,4529.3154,3313.944775,3165.20025,2396.0632
SLCO1B1,20.2178,0,0,0,20.2178,5.05445,0,0
RAD51AP1,359.254,395.2469,450.1134,144.6462,450.1134,337.315125,377.25045,144.6462
KLF1,0.5184,202.9646,0.5669,1.8785,202.9646,51.4821,1.2227,0.5184
PROKR1,0.5184,0,1.7007,34.4396,34.4396,9.164675,1.10955,0
SLC27A3,809.747,233.9943,2468.254,14284.283,14284.283,4449.069575,1639.0005,233.9943
ADAMTS5,70.5029,1354.6234,137.7551,587.3513,1354.6234,537.558175,362.5532,70.5029
COPG1,3148.7858,3694.5662,5373.5828,3994.9906,5373.5828,4052.98135,3844.7784,3148.7858
PHLDA1,11509.6054,331.1528,259.6372,2346.2743,11509.6054,3611.667425,1338.71355,259.6372
DLGAP4,2221.8795,1322.0677,4289.1156,4736.3807,4736.3807,3142.360875,3255.49755,1322.0677
NINL,184.5518,357.0956,362.8118,490.2943,490.2943,348.688375,359.9537,184.5518
UNC13A,4.1472,43.2381,20.9751,427.0507,427.0507,123.852775,32.1066,4.1472
ERP44,2353.0357,2397.9327,1279.4785,2885.4101,2885.4101,2228.96425,2375.4842,1279.4785
FRMD4B,381.5453,239.5898,816.3265,1663.7445,1663.7445,775.301525,598.9359,239.5898
AIPL1,1.5552,0,6.8027,0,6.8027,2.089475,0.7776,0
NGEF,350.9595,46.7989,9.6372,63.8698,350.9595,117.81635,55.33435,9.6372
DNAJB5,849.1457,500.0356,2135.4875,287.4139,2135.4875,943.020675,674.59065,287.4139
HINFP,174.1837,424.2418,505.6689,284.283,505.6689,347.09435,354.2624,174.1837
EDRF1,314.1528,873.9178,294.7846,263.6193,873.9178,436.618625,304.4687,263.6193
GIMAP2,297.5639,229.9248,242.6304,322.4796,322.4796,273.149675,270.09715,229.9248
CNTN6,0,2.0347,163.8322,2.5047,163.8322,42.0929,2.2697,0
NKIRAS2,1227.0622,1007.1928,2139.4558,2032.5611,2139.4558,1601.567975,1629.81165,1007.1928
ATAD2,1851.7391,1398.3702,3947.8458,1202.2542,3947.8458,2100.052325,1625.05465,1202.2542
ANKRD11,2932.7617,2591.624,2244.4501,3956.0551,3956.0551,2931.222725,2762.19285,2244.4501
OBP2A,171.0733,1.526,0,1.8785,171.0733,43.61945,1.70225,0
RDH8,3.6288,0.5087,0.5669,1.8785,3.6288,1.645725,1.2227,0.5087
MTFP1,1099.5349,1020.8662,110.5442,411.9098,1099.5349,660.713775,716.388,110.5442
ARMCX3,449.9747,925.2948,2278.9116,3270.5072,3270.5072,1731.172075,1602.1032,449.9747
NDUFB11,1745.4662,1770.2176,1552.1542,1575.454,1770.2176,1660.823,1660.4601,1552.1542
WDR5B,139.9691,269.0934,401.9274,251.0958,401.9274,265.521425,260.0946,139.9691
TTC12,50.2852,199.4038,155.3288,161.5529,199.4038,141.642675,158.44085,50.2852
ARMC1,405.9103,786.4243,1454.0816,959.9249,1454.0816,901.585275,873.1746,405.9103
PARL,1220.323,829.1537,612.2449,437.6957,1220.323,774.854325,720.6993,437.6957
ANKRD10,941.4216,1371.2981,3838.2086,1206.0113,3838.2086,1839.2349,1288.6547,941.4216
THUMPD1,649.0418,957.3418,1371.8821,807.7646,1371.8821,946.507575,882.5532,649.0418
KANSL3,724.7288,986.3368,2786.8481,800.8766,2786.8481,1324.697575,893.6067,724.7288
RADIL,12.9601,16.2779,71.4286,13.7758,71.4286,28.6106,15.02685,12.9601
POLR3E,794.1949,798.6327,723.9229,449.593,798.6327,691.585875,759.0589,449.593
PARVA,905.1334,601.7723,2298.7528,4120.2254,4120.2254,1981.470975,1601.9431,601.7723
PCDHB3,6.7393,2.0347,22.1088,113.9637,113.9637,36.211625,14.42405,2.0347
CPA6,19.1809,1.526,1.7007,653.7257,653.7257,169.033325,10.4408,1.526
GRAMD1B,916.5383,175.4957,21.542,64.4959,916.5383,294.517975,119.9958,21.542
SLAIN2,518.404,786.9329,2862.2449,2303.0683,2862.2449,1617.662525,1545.0006,518.404
SLC7A14,0,0,0,860.9894,860.9894,215.24735,0,0
TP53INP2,237.9474,453.7454,2028.9116,1377.583,2028.9116,1024.54685,915.6642,237.9474
BCAN,93.8311,42.2207,65.1927,2130.2442,2130.2442,582.872175,79.5119,42.2207
SMOC1,13544.341,17.8039,3409.8639,197.871,13544.341,4292.46995,1803.86745,17.8039
PRAMEF2,0,0,0,0,0,0,0,0
FTO,631.4161,817.4539,878.1179,1326.2367,1326.2367,913.30615,847.7859,631.4161
RBM42,2379.4743,2165.9732,1862.2449,2460.8641,2460.8641,2217.139125,2272.72375,1862.2449
RHBDF2,2203.217,1596.7566,386.0544,265.4978,2203.217,1112.88145,991.4055,265.4978
NEK11,19.1809,24.9255,92.4036,60.1127,92.4036,49.155675,42.5191,19.1809
ADAMTS20,83.463,188.2128,0,1.8785,188.2128,68.388575,42.67075,0
HMCN1,89.6839,430.8547,43.6508,1990.6074,1990.6074,638.6992,260.2693,43.6508
TKTL2,0,0.5087,1.7007,0,1.7007,0.55235,0.25435,0
DCUN1D5,10823.2385,570.7426,270.9751,375.7044,10823.2385,3010.16515,473.2235,270.9751
REPS1,906.6886,854.5878,448.4127,422.6675,906.6886,658.08915,651.50025,422.6675
GALP,0,0,0,0,0,0,0,0
WNT3A,148.2635,7.6302,1.1338,0,148.2635,39.256875,4.382,0
ZNF468,146.1899,211.1035,272.1088,250.4696,272.1088,219.96795,230.78655,146.1899
PAGE5,0,1.526,0,848.4659,848.4659,212.497975,0.763,0
SPOCD1,175.2205,90.0369,373.5828,48.2154,373.5828,171.7639,132.6287,48.2154
IL33,1507.0004,100.2106,2445.0113,279.2736,2445.0113,1082.873975,893.137,100.2106
ACBD5,557.8027,526.9958,395.1247,788.9793,788.9793,567.225625,542.39925,395.1247
TMEM169,345.2571,10.1737,23.8095,9.3926,345.2571,97.158225,16.9916,9.3926
CSMD3,302.2295,0,0,41.3275,302.2295,85.88925,20.66375,0
KLHDC3,1368.0681,1937.5744,2067.4603,1904.8215,2067.4603,1819.481075,1921.19795,1368.0681
COMTD1,539.6586,130.7316,31.1791,94.5523,539.6586,199.0304,112.64195,31.1791
ANAPC16,1980.3032,2879.147,1043.6508,924.2329,2879.147,1706.833475,1511.977,924.2329
PRR20A,0,0,0,0,0,0,0,0
SLC51B,0,0,2.2676,0,2.2676,0.5669,0,0
NDUFA11,1361.8473,2283.9877,1921.2018,2110.8328,2283.9877,1919.4674,2016.0173,1361.8473
OR2B11,9.8497,0,0,1.2523,9.8497,2.7755,0.62615,0
FCRLB,65.8373,40.6947,22.6757,2598.6224,2598.6224,681.957525,53.266,22.6757
EDARADD,714.3607,102.754,246.5986,2544.1453,2544.1453,901.96465,480.47965,102.754
DUSP15,1.5552,229.9248,21.542,47.5892,229.9248,75.1528,34.5656,1.5552
CPEB2,366.5116,191.7736,899.093,274.8904,899.093,433.06715,320.701,191.7736
OTUD6A,0,0,2.8345,0,2.8345,0.708625,0,0
ZBTB46,37.3251,138.3618,192.7438,4113.9637,4113.9637,1120.5986,165.5528,37.3251
ITLN2,3.6288,0,64.059,0,64.059,16.92195,1.8144,0
SERPINA12,0,0.5087,30.6122,0,30.6122,7.780225,0.25435,0
ABHD12B,3.1104,0,1.7007,149.0294,149.0294,38.460125,2.40555,0
DPY19L3,71.5398,143.9574,264.7392,430.8078,430.8078,227.76105,204.3483,71.5398
FAM71A,0.5184,0,1.7007,0,1.7007,0.554775,0.2592,0
SIK1,18039.9404,1026.0141,113.3787,464.6212,18039.9404,4910.9886,745.31765,113.3787
SLC38A11,1.5552,0,2874.7166,0,2874.7166,719.06795,0.7776,0
ZNF676,0,0,39.1156,6.2617,39.1156,11.344325,3.13085,0
FNDC7,0,0.5087,15.3061,0,15.3061,3.9537,0.25435,0
TTLL9,4.6656,40.186,10.2041,8.1403,40.186,15.799,9.1722,4.6656
SPTSSB,5.184,0.5087,4.5351,0,5.184,2.55695,2.5219,0
PRSS35,0,0,302.7211,8294.928,8294.928,2149.412275,151.36055,0
COL22A1,15.0337,85.4588,3.4014,15757.6706,15757.6706,3965.391125,50.24625,3.4014
PWWP2B,1184.0347,121.5753,91.8367,115.8422,1184.0347,378.322225,118.70875,91.8367
S100Z,0,36.1165,6.2358,1.2523,36.1165,10.90115,3.74405,0
DNAH10,7.7761,4.0695,9.0703,1070.7577,1070.7577,272.9184,8.4232,4.0695
PAGE2,0,0,0,202.2542,202.2542,50.56355,0,0
OR4C6,23.8466,3.0521,0,1.2523,23.8466,7.03775,2.1522,0
OR5M3,0,0,0,0,0,0,0,0
TMEM217,36.5682,17.4173,23.5091,10.0689,36.5682,21.890875,20.4632,10.0689
TMEM196,0,0,0,250.4696,250.4696,62.6174,0,0
SERINC5,49.7668,30.521,23.2426,93.2999,93.2999,49.207575,40.1439,23.2426
TMEM114,0,0,0,117.0946,117.0946,29.27365,0,0
THEM5,105.7544,12.7171,2.2676,2.5047,105.7544,30.81095,7.6109,2.2676
MTX3,471.7476,450.1847,576.5306,6594.2392,6594.2392,2023.175525,524.1391,450.1847
IGFBPL1,0,2.5434,175.1701,0.6262,175.1701,44.584925,1.5848,0
C12orf75,1032.6607,788.459,1192.7438,105.8234,1192.7438,779.921725,910.55985,105.8234
C16orf86,13.4785,92.5803,75.9637,84.5335,92.5803,66.639,80.2486,13.4785
HRNR,12.4417,12.7171,39.6825,6.2617,39.6825,17.77575,12.5794,6.2617
PAGE2B,0,0,0,235.4415,235.4415,58.860375,0,0
OR52A5,0,0,0,0,0,0,0,0
RNASE9,0,0,0,0,0,0,0,0
DBX2,0,0,0,727.6143,727.6143,181.903575,0,0
PRR20A,0,0,0,0,0,0,0,0
PRR20A,0,0,0,0,0,0,0,0
PRR20A,0,0,0,0,0,0,0,0
TMEM242,231.2082,256.885,456.9161,353.7884,456.9161,324.699425,305.3367,231.2082